company,search_company,review
"Adobe, Inc.",Adobe,11000
"Advance Auto Parts, Inc.",Advance Auto Parts,5000
"Advanced Micro Devices, Inc.",AMD,5000
AGCO Corp.,AGCO Corporation,7
"Agilent Technologies, Inc.",Agilent Technologies,3000
"Air Products & Chemicals, Inc.",Air Products,2000
"Akamai Technologies, Inc.",Akamai,3000
Altus Group Ltd.,Altus Group,786
Amdocs Ltd.,Amdocs,13000
American Homes 4 Rent,AMH,635
"American Tire Distributors, Inc.",American Tire Distributors,568
American Tower Corp.,American Tower,1000
"Annaly Capital Management, Inc.",Annaly Capital Management,29
"Applied Materials, Inc.",Applied Materials,5000
"AptarGroup, Inc.",Aptar,593
"Arrow Electronics, Inc.",Arrow Electronics,3000
"Automatic Data Processing, Inc.",ADP,22000
"AutoNation, Inc.",AutoNation,2000
"AutoZone, Inc.",AutoZone,7000
"AvalonBay Communities, Inc.",AvalonBay Communities,1000
"Avantor, Inc.",Avantor,1000
"Avis Budget Group, Inc.",Avis Budget Group,4000
"Avnet, Inc.",Avnet,2000
"Azenta, Inc.",Azenta Life Sciences,242
Ball Corp.,Ball Corporation,1000
"Bio-Rad Laboratories, Inc.",Bio-Rad Laboratories,1000
Bio-Techne Corp.,Bio-Techne,509
"BorgWarner, Inc.",BorgWarner,2000
"Boston Properties, Inc.",Boston Properties,179
"Brixmor Property Group, Inc.",Brixmor,134
"BRP, Inc.",BRP,806
Bruce Power LP,Bruce Temporary Services,2
"Cadence Design Systems, Inc.",Cadence Design Systems,3000
Canadian National Railway Co.,CN,2000
"Cardinal Health, Inc.",Cardinal Health,5000
"CarMax, Inc.",CarMax,8000
"Carter's, Inc.",Carter's,3000
"CBRE Group, Inc.",CBRE Group Inc,1
CDW Corp.,CDW,5000
"Celestica, Inc.",Celestica,1000
"Cencora, Inc.",Cencora,2000
"Charles River Laboratories International, Inc.",Charles River Laboratories,2000
Choice Properties Real Estate Investment Trust,,0
"Cirrus Logic, Inc.",Cirrus Logic,383
"Cisco Systems, Inc.",Cisco,36000
"Cogeco Communications, Inc.",COGECO,261
Cognex Corp.,Cognex,457
Cognizant Technology Solutions Corp.,Cognizant Technology Solutions,114000
"Colliers International Group, Inc.",Colliers,3000
"Convergent Energy & Power, Inc.",Convergent Energy and Power,15
"Cousins Properties, Inc.",Cousins Properties,50
"Crown Castle, Inc.",Crown Castle,1000
"Crown Holdings, Inc.","Crown Holdings, Inc.",557
Danaher Corp.,Danaher,858
"Darling Ingredients, Inc.",Darling Ingredients,244
"Dentsply Sirona, Inc.",Dentsply Sirona,1000
"Digital Realty Trust, Inc.",Digital Realty,618
"Dolby Laboratories, Inc.",Dolby,794
Dream Industrial Real Estate Investment Trust,,0
DXC Technology Co.,DXC Technology,28000
"Ecolab, Inc.",Ecolab,6000
"Electronic Arts, Inc.",Electronic Arts,5000
"Elevance Health, Inc.",Elevance Health,6000
"Enbridge, Inc.",Enbridge,2000
Enterprise Products Partners LP,Enterprise Products,528
Equity Residential,Equity Residential,1000
"Essex Property Trust, Inc.",Essex Property Trust,825
"Finning International, Inc.",Finning,513
First Capital Real Estate Investment Trust,,0
First West Credit Union,First West Credit Union,123
Flex Ltd.,Flex,7000
Fox Corp.,Fox Corporation,225
Franco-Nevada Corp.,Franco-Nevada,7
Freehold Royalties Ltd.,Freehold Royalties,0
"Frontdoor, Inc.",Frontdoor,182
"General Mills, Inc.",General Mills,5000
Genuine Parts Co.,Genuine Parts Company,507
"Gibson Energy, Inc.",Gibson Energy,131
"Gildan Activewear, Inc.",Gildan,374
"GLOBALFOUNDRIES, Inc.",GlobalFoundries,3000
"Graham Packaging Co., Inc.",Graham Packaging,507
Granite Real Estate Investment Trust,Granite REIT,12
"Guidewire Software, Inc.",Guidewire,1000
"Hasbro, Inc.",Hasbro,1000
"Healthpeak Properties, Inc.",Healthpeak Properties,47
