Company,Industry Group,Region,Global Top 50,Region Top Rated,Industry Top Rated
"Adobe, Inc.",Software & Services,United States and Canada,,,✓
"Advance Auto Parts, Inc.",Retailing,United States and Canada,,✓,✓
"Advanced Micro Devices, Inc.",Semiconductors,United States and Canada,,,✓
AGCO Corp.,Machinery,United States and Canada,,,✓
"Agilent Technologies, Inc.",Pharmaceuticals,United States and Canada,,✓,✓
"Air Products & Chemicals, Inc.",Chemicals,United States and Canada,,✓,✓
"Akamai Technologies, Inc.",Software & Services,United States and Canada,,,✓
Altus Group Ltd.,Real Estate,United States and Canada,,✓,✓
Amdocs Ltd.,Software & Services,United States and Canada,,,✓
American Homes 4 Rent,Real Estate,United States and Canada,,✓,
"American Tire Distributors, Inc.",Retailing,United States and Canada,,✓,✓
American Tower Corp.,Real Estate,United States and Canada,,✓,
"Annaly Capital Management, Inc.",Real Estate,United States and Canada,,✓,
"Applied Materials, Inc.",Semiconductors,United States and Canada,,✓,✓
"AptarGroup, Inc.",Containers & Packaging,United States and Canada,,✓,
"Arrow Electronics, Inc.",Technology Hardware,United States and Canada,,✓,✓
"Automatic Data Processing, Inc.",Software & Services,United States and Canada,,,✓
"AutoNation, Inc.",Retailing,United States and Canada,,✓,
"AutoZone, Inc.",Retailing,United States and Canada,,✓,✓
"AvalonBay Communities, Inc.",Real Estate,United States and Canada,,✓,✓
"Avantor, Inc.",Pharmaceuticals,United States and Canada,,,✓
"Avis Budget Group, Inc.",Transportation,United States and Canada,,✓,✓
"Avnet, Inc.",Technology Hardware,United States and Canada,,✓,✓
"Azenta, Inc.",Pharmaceuticals,United States and Canada,,,✓
Ball Corp.,Containers & Packaging,United States and Canada,,✓,
"Bio-Rad Laboratories, Inc.",Pharmaceuticals,United States and Canada,,,✓
Bio-Techne Corp.,Pharmaceuticals,United States and Canada,,,✓
"BorgWarner, Inc.",Auto Components,United States and Canada,,✓,✓
"Boston Properties, Inc.",Real Estate,United States and Canada,,✓,
"Brixmor Property Group, Inc.",Real Estate,United States and Canada,,✓,
"BRP, Inc.",Consumer Durables,United States and Canada,,✓,
Bruce Power LP,Utilities,United States and Canada,,✓,✓
"Cadence Design Systems, Inc.",Software & Services,United States and Canada,,✓,✓
Canadian National Railway Co.,Transportation,United States and Canada,,,✓
"Cardinal Health, Inc.",Healthcare,United States and Canada,,,✓
"CarMax, Inc.",Retailing,United States and Canada,,✓,✓
"Carter's, Inc.",Retailing,United States and Canada,,✓,
"CBRE Group, Inc.",Real Estate,United States and Canada,,✓,✓
CDW Corp.,Technology Hardware,United States and Canada,,✓,✓
"Celestica, Inc.",Technology Hardware,United States and Canada,,✓,✓
